sep=;;;;;;;
Product Class;'04;;;;;;
Variant Sift;';;;;;;
Document;22644816;;;;;;
Position;LinkID;Partno;Name,Demarcation;Function Group;Variants;Quantity;KOLA Direction
3;CALINKID;22626618;;;4LA-D9X;1;
3;CALINKID;24167361;;;PTOENG-F,V9D-C1X;1;
3;CALINKID;24167359;;;PTOTRA-S,ADASWP6,V9D-C1X;1;
3;CALINKID;24167359;;;PTOTRA-S,ADASWP10,V9D-C1X;1;
3;CALINKID;24167359;;;PTRD-D,PTOTRA-D,ADASWP6,V9D-C1X;1;
3;CALINKID;24167359;;;PTRD-D,PTOTRA-D,ADASWP10,V9D-C1X;1;
3;CALINKID;24167356;;;V9D-C1X,HPE-F41;1;
3;CALINKID;24167356;;;V9D-C1X,HPE-F61;1;
3;CALINKID;24167356;;;V9D-C1X,HPE-F81;1;
3;CALINKID;24167356;;;V9D-C1X,HPE-F101;1;
3;CALINKID;24167359;;;V9D-C2X,ADASWP6;1;
3;CALINKID;24167359;;;V9D-C2X,ADASWP10;1;
3;CALINKID;23162822;;;EAX-CGX;1;momentary
3;CALINKID;24167359;;;UADASWPA,PTOTRA-D,V9D-D1X;-1;Delete if PTRD-D is tied to PTOTRA-S
3;CALINKID;24167359;;;ADASWP2,PTOTRA-D,V9D-D1X;-1;Delete if PTRD-D is tied to PTOTRA-S
3;CALINKID;24167359;;;UADASWPA,PTOTRA-D,V9D-H1X;-1;Delete if PTRD-D is tied to PTOTRA-S
3;CALINKID;24167359;;;ADASWP2,PTOTRA-D,V9D-H1X;-1;Delete if PTRD-D is tied to PTOTRA-S
3;CALINKID;24167359;;;UADASWPA,PTOTRA-D,V9D-P1X;-1;Delete if PTRD-D is tied to PTOTRA-S
3;CALINKID;24167359;;;ADASWP2,PTOTRA-D,V9D-P1X;-1;Delete if PTRD-D is tied to PTOTRA-S
3;CALINKID;24167359;;;ADASWP2,PTOTRA-S,V9D-D1X;-1;
3;CALINKID;24167359;;;UADASWPA,PTOTRA-S,V9D-D1X;-1;
3;CALINKID;24167359;;;ADASWP2,PTOTRA-S,V9D-H1X;-1;
3;CALINKID;24167359;;;UADASWPA,PTOTRA-S,V9D-H1X;-1;
3;CALINKID;24167359;;;ADASWP2,PTOTRA-S,V9D-P1X;-1;
3;CALINKID;24167359;;;UADASWPA,PTOTRA-S,V9D-P1X;-1;
4;CALINKID;23162822;;;EAX-TMX;1;momentary
4;CALINKID;22392545;;;EAX-CGX;1;
4;CALINKID;24167360;;;V9D-C2X,ADASWP6;1;
4;CALINKID;24167360;;;V9D-C2X,ADASWP10;1;
4;CALINKID;24167360;;;T4X-C8X,ADASWP2;1;
4;CALINKID;24167360;;;T4X-C8X,UADASWPA;1;
4;CALINKID;24167361;;;PTOENG-F,V9D-D1X;1;
4;CALINKID;24167359;;;PTOTRA-S,V9D-D1X;1;
4;CALINKID;24167359;;;PTRD-D,PTOTRA-D,V9D-D1X;1;
4;CALINKID;24167356;;;V9D-D1X,HPE-F41;1;
4;CALINKID;24167356;;;V9D-D1X,HPE-F61;1;
4;CALINKID;24167356;;;V9D-D1X,HPE-F81;1;
4;CALINKID;24167356;;;V9D-D1X,HPE-F101;1;
5;CALINKID;22392545;;;EAX-B3X;1;
5;CALINKID;22392545;;;EAX-CFX;1;
5;CALINKID;22392545;;;EAX-E5X;1;
5;CALINKID;22392545;;;EAX-E7X;1;
5;CALINKID;22392545;;;EAX-TKX;1;
5;CALINKID;22392545;;;EAX-TOX;1;
5;CALINKID;22392545;;;EAX-TPX;1;
6;CALINKID;22392545;;;EAX-B3X;1;
6;CALINKID;22392545;;;EAX-CDX;1;
6;CALINKID;22392545;;;EAX-CFX;1;
6;CALINKID;22392545;;;EAX-E5X;1;
6;CALINKID;22392545;;;EAX-E7X;1;
6;CALINKID;22392545;;;EAX-TKX;1;
6;CALINKID;22392545;;;EAX-TOX;1;
6;CALINKID;22392545;;;EAX-TPX;1;
7;CALINKID;22392545;;;EAX-ASX;1;
7;CALINKID;22392545;;;EAX-BCX;1;
