sep=;
Product Class;'04
Variant Sift;'
Document;22644816
Position;LinkID;Partno;Name,Demarcation;Function Group;Variants;Quantity;KOLA Direction
1;3741340;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,BLAM-HDO,WLT-LED;00001;&nbsp;
1;3739754;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,UBLAMP,5WLAMP-H;00001;&nbsp;
1;3739752;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,UBLAMP,5WLAMP-W;00001;&nbsp;
1;3739753;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,UBLAMP,5WLAMP-D;00001;&nbsp;
1;3739764;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,BLAM-LDI,5WLAMP-D;00001;&nbsp;
1;3739103;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UBLAMP,UWLAMP;00001;&nbsp;
1;3739763;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,BLAM-HDI,5WLAMP-D;00001;&nbsp;
1;3739762;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,BLAM-LDI,5WLAMP-W;00001;&nbsp;
1;3739761;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,BLAM-HDI,5WLAMP-W;00001;&nbsp;
1;3739757;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,BLAM-LDI,UWLAMP;00001;&nbsp;
1;3739756;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,BLAM-HDI,UWLAMP;00001;&nbsp;
1;3739768;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,BLAM-LDI,5WLAM-DH;00001;&nbsp;
1;3739767;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,BLAM-HDI,5WLAM-DH;00001;&nbsp;
1;3739766;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,BLAM-LDI,5WLAMP-H;00001;&nbsp;
1;3739765;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,BLAM-HDI,5WLAMP-H;00001;&nbsp;
1;3739755;22392513;SWITCH, BACK OF CAB LIGHT;364 ;INT-GEN2,UBLAMP,5WLAM-DH;00001;&nbsp;
2;3832678;23448164;SWITCH, PRE-TRIP INSPECTION;364 ;12V;00001;&nbsp;
3;3914944;24167359;SWITCH, POWER TAKE-OFF, GEARBOX 1;364 ;UADASWPA,PTOTRA-D;00001;&nbsp;
3;3914941;24167359;SWITCH, POWER TAKE-OFF, GEARBOX 1;364 ;ADASWP2,PTOTRA-D;00001;&nbsp;
3;3914940;24167359;SWITCH, POWER TAKE-OFF, GEARBOX 1;364 ;UADASWPA,PTOTRA-S;00001;&nbsp;
3;3914937;24167359;SWITCH, POWER TAKE-OFF, GEARBOX 1;364 ;ADASWP2,PTOTRA-S;00001;&nbsp;
3;3725305;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,ADASWP6,UEXBRI,UREMCON;00001;&nbsp;
